,StoreName,StoreAddress,URL
172,Parkmore,"Shop Z6 Parkmore Shopping Centre, Cheltenham Rd, Parkmore, VIC, 3173",https://www.pizzahut.com.au/stores/pizza-hut-parkmore
173,Parramatta,"476 Church St, Parramatta, NSW, 2150",https://www.pizzahut.com.au/stores/pizza-hut-parramatta
174,Penrith,"Shop 2, 29 York Rd, Penrith, NSW, 2750",https://www.pizzahut.com.au/stores/pizza-hut-penrith
175,Penrith Food Court Express,"Shop E11 Westfield Penrith, 585 High St, Sydney, NSW, 2750",https://www.pizzahut.com.au/stores/pizza-hut-penrith-food-court-express
176,Perth,"Shop 2, 101 Murray St, Perth, WA, 6000",https://www.pizzahut.com.au/stores/pizza-hut-perth
177,Pimpama,"27 Dixon Dr, Pimpama, QLD, 4209",https://www.pizzahut.com.au/stores/pizza-hut-pimpama
178,Pittsworth,"Shop 2, 122 Yandilla St, Pittsworth, QLD, 4356",https://www.pizzahut.com.au/stores/pizza-hut-pittsworth
179,Plainland,"Shop H, 4424 Warrego Hwy, Plainland, QLD, 4341",https://www.pizzahut.com.au/stores/pizza-hut-plainland
180,Plympton,"353 Anzac Hwy, Plympton, SA, 5038",https://www.pizzahut.com.au/stores/pizza-hut-plympton
181,Point Cook,"Shop 30A Sanctuary Lakes Shopping Centre, 300 Point Cook Rd, Point Cook, VIC, 3030",https://www.pizzahut.com.au/stores/pizza-hut-point-cook
182,Port Augusta,"23 Victoria Pde, Port Augusta, SA, 5700",https://www.pizzahut.com.au/stores/pizza-hut-port-augusta
183,Potts Point,"Shop TG15 Kings Cross Centre, 82-94 Darlinghurst Rd, Potts Point, NSW, 2011",https://www.pizzahut.com.au/stores/pizza-hut-potts-point
184,Prahran,"567 High St, Prahran, VIC, 3181",https://www.pizzahut.com.au/stores/pizza-hut-prahran
185,Randwick,"129 Botany St, Randwick, NSW, 2031",https://www.pizzahut.com.au/stores/pizza-hut-randwick
186,Redbank Plains,"Shop 54 Town Square, 357 Redbank Plains Rd, Redbank Plains, QLD, 4301",https://www.pizzahut.com.au/stores/pizza-hut-redbank-plains
187,Reservoir,"317 Spring St, Reservoir, VIC, 3073",https://www.pizzahut.com.au/stores/pizza-hut-reservoir
188,Revesby,"Shop 15 Palm Court, 23 Selems Pde, Revesby, NSW, 2212",https://www.pizzahut.com.au/stores/pizza-hut-revesby
189,Ringwood,"79 Bedford Rd, Ringwood, VIC, 3134",https://www.pizzahut.com.au/stores/pizza-hut-ringwood
190,Riverwood,"225 Belmore Rd, Riverwood, NSW, 2210",https://www.pizzahut.com.au/stores/pizza-hut-riverwood
191,Robina,"Shop 2, 510 Christine Ave, Robina, QLD, 4226",https://www.pizzahut.com.au/stores/pizza-hut-robina
192,Rosemeadow,"Shop 16 Rosemeadow Shopping Centre, Fitzgibbon Lane, Rosemeadow, NSW, 2560",https://www.pizzahut.com.au/stores/pizza-hut-rosemeadow
193,Rosewood,"30 John St, Rosewood, QLD, 4340",https://www.pizzahut.com.au/stores/pizza-hut-rosewood
